brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty,product_name,slug
tecno,Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),23990,63.0,intel,core i3,2,4,8,ssd,512,no secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),tecno-megabook-t1-laptop-11th-gen-core-i3-8gb-512gb-ssd-win11-home
tecno,Tecno Megabook T1 Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),35990,67.0,intel,core i7,4,8,16,ssd,1024,no secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,Tecno Megabook T1 Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),tecno-megabook-t1-laptop-11th-gen-core-i7-16gb-1tb-ssd-win11-home
hp,HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),51100,73.0,amd,ryzen 5,6,12,8,ssd,512,no secondary storage,0,amd,dedicated,False,15.6,1920,1080,windows,1,HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),hp-victus-15-fb0157ax-gaming-laptop-amd-ryzen-5-5600h-8gb-512gb-ssd-win11-4gb-graph
acer,Acer Extensa EX214-53 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),39990,62.0,intel,core i5,12,16,8,ssd,512,no secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1,Acer Extensa EX214-53 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),acer-extensa-ex214-53-laptop-12th-gen-core-i5-8gb-512gb-ssd-win11-home
lenovo,Lenovo V15 82KDA01BIH Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home),28580,62.0,amd,ryzen 3,4,8,8,ssd,512,no secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1,Lenovo V15 82KDA01BIH Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home),lenovo-v15-82kda01bih-laptop-amd-ryzen-3-5300u-8gb-512gb-ssd-win11-home
apple,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),70990,45.0,apple,m1,8,8,8,ssd,256,no secondary storage,0,apple,apple,False,13.3,2560,1600,mac,1,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),apple-macbook-air-2020-mgnd3hn-laptop-apple-m1-8gb-256gb-ssd-macos
infinix,Infinix INBook Y2 Plus Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),34990,56.0,intel,core i5,4,8,16,ssd,512,no secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,Infinix INBook Y2 Plus Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),infinix-inbook-y2-plus-laptop-11th-gen-core-i5-16gb-512gb-ssd-win-11-home
asus,Asus TUF Gaming F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),49990,70.0,intel,core i5,6,12,8,ssd,512,no secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1,Asus TUF Gaming F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),asus-tuf-gaming-f15-fx506hf-hn024w-gaming-laptop-11th-gen-core-i5-8gb-512gb-ssd-win11-4gb-graph
hp,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),36990,60.0,intel,core i3,6,8,8,ssd,512,no secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),hp-15s-fq5007tu-laptop-12th-gen-core-i3-8gb-512gb-ssd-win11-home
infinix,Infinix Zerobook 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home),59990,71.0,intel,core i9,14,20,32,ssd,1024,no secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,Infinix Zerobook 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home),infinix-zerobook-2023-laptop-13th-gen-core-i9-32gb-1tb-ssd-win-11-home
dell,Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),34990,60.0,intel,core i3,6,8,8,ssd,512,no secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),dell-inspiron-3520-d560896win9b-laptop-12th-gen-core-i3-8gb-512gb-ssd-win11
samsung,Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),64990,68.0,intel,core i5,12,16,16,ssd,512,no secondary storage,0,intel,integrated,False,13.3,1080,1920,windows,1,Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),samsung-galaxy-book2-pro-13-laptop-12th-gen-core-i5-16gb-512gb-ssd-win11
msi,MSI Thin GF63 12UC-846IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graphics),52990,71.0,intel,core i5,8,12,16,ssd,512,no secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,2,MSI Thin GF63 12UC-846IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graphics),msi-thin-gf63-12uc-846in-gaming-laptop-12th-gen-core-i5-16gb-512gb-ssd-win11-home-4gb-graphics
asus,Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop (Ryzen 7-5800H/ 16GB/ 512GB SSD/ Win11 Home),57390,71.0,amd,ryzen 7,8,16,16,ssd,512,no secondary storage,0,amd,integrated,False,16.0,1920,1200,windows,1,Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop (Ryzen 7-5800H/ 16GB/ 512GB SSD/ Win11 Home),asus-vivobook-16x-2022-m1603qa-mb711ws-laptop-ryzen-7-5800h-16gb-512gb-ssd-win11-home
lenovo,Lenovo IdeaPad Slim 3 82H803LKIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),47490,66.0,intel,core i5,4,8,16,ssd,512,no secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,Lenovo IdeaPad Slim 3 82H803LKIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),lenovo-ideapad-slim-3-82h803lkin-laptop-11th-gen-core-i5-16gb-512gb-ssd-win11
hp,HP Omen 16-wf1025TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),153990,85.0,intel,core i7,20,28,16,ssd,1024,no secondary storage,0,nvidia,dedicated,False,16.1,2560,1440,windows,1,HP Omen 16-wf1025TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),hp-omen-16-wf1025tx-gaming-laptop-14th-gen-core-i7-16gb-1tb-ssd-win11-home-8gb-graph
lenovo,Lenovo V15 G3 IAP 82TTA08AIN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/Win11),49990,59.0,intel,core i7,10,12,16,ssd,512,no secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,Lenovo V15 G3 IAP 82TTA08AIN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/Win11),lenovo-v15-g3-iap-82tta08ain-laptop-12th-gen-core-i7-16gb-512gb-ssd-win11
